x,y,vx,vy,pressure,type
-5.92382560e-02,-6.19635273e-02,-2.85938963e-01,-3.02240197e-01,0.00000000e+00,0
5.92382543e-02,-6.19635260e-02,2.85938957e-01,-3.02240176e-01,0.00000000e+00,0
-4.53761975e-02,-6.22653300e-02,-2.25957758e-01,-2.96864034e-01,0.00000000e+00,0
4.53762132e-02,-6.22653363e-02,2.25957865e-01,-2.96864061e-01,0.00000000e+00,0
-6.19635273e-02,-5.92382560e-02,-3.02240197e-01,-2.85938963e-01,0.00000000e+00,0
-6.22653300e-02,-4.53761975e-02,-2.96864034e-01,-2.25957758e-01,0.00000000e+00,0
-4.84230848e-02,-4.84230848e-02,-2.45104052e-01,-2.45104052e-01,0.00000000e+00,0
4.84438075e-02,-4.84438075e-02,2.45221383e-01,-2.45221383e-01,0.00000000e+00,0
6.22653363e-02,-4.53762132e-02,2.96864061e-01,-2.25957865e-01,0.00000000e+00,0
6.19635260e-02,-5.92382543e-02,3.02240176e-01,-2.85938957e-01,0.00000000e+00,0
-1.34817114e-02,-1.34817114e-02,-7.30889245e-02,-7.30889245e-02,0.00000000e+00,0
8.41885288e-03,-8.41885288e-03,4.44438534e-02,-4.44438534e-02,0.00000000e+00,0
-8.41885288e-03,8.41885288e-03,-4.44438534e-02,4.44438534e-02,0.00000000e+00,0
1.34817114e-02,1.34817114e-02,7.30889245e-02,7.30889245e-02,0.00000000e+00,0
-6.19635260e-02,5.92382543e-02,-3.02240176e-01,2.85938957e-01,0.00000000e+00,0
-6.22653363e-02,4.53762132e-02,-2.96864061e-01,2.25957865e-01,0.00000000e+00,0
-4.84438075e-02,4.84438075e-02,-2.45221383e-01,2.45221383e-01,0.00000000e+00,0
4.84230848e-02,4.84230848e-02,2.45104052e-01,2.45104052e-01,0.00000000e+00,0
6.22653300e-02,4.53761975e-02,2.96864034e-01,2.25957758e-01,0.00000000e+00,0
6.19635273e-02,5.92382560e-02,3.02240197e-01,2.85938963e-01,0.00000000e+00,0
-4.53762132e-02,6.22653363e-02,-2.25957865e-01,2.96864061e-01,0.00000000e+00,0
4.53761975e-02,6.22653300e-02,2.25957758e-01,2.96864034e-01,0.00000000e+00,0
-5.92382543e-02,6.19635260e-02,-2.85938957e-01,3.02240176e-01,0.00000000e+00,0
5.92382560e-02,6.19635273e-02,2.85938963e-01,3.02240197e-01,0.00000000e+00,0
